timestamp	incident_number	level	units	location	incident_type
6/17/2017 11:58:08 PM	F170060270	1	E34	1616 41st Av E	Aid Response
6/17/2017 11:34:59 PM	F170060265	1	M10	120 6th Av S	Medic Response
6/17/2017 11:34:35 PM	F170060266	1	E17	4217 University Way Ne	Aid Response
6/17/2017 11:34:59 PM	F170060265	1	A10	120 6th Av S	Medic Response
6/17/2017 11:32:55 PM	F170060264	1	A25	507 15th Av E	Aid Response
6/17/2017 11:26:32 PM	F170060262	1	M31 E16	8239 WALLINGFORD AV N	Medic Response
6/17/2017 11:06:32 PM	F170060257	1	E2	2400 4th Av	Aid Response Yellow
6/17/2017 11:07:29 PM	F170060258	1	E21	912 N 68th St	Aid Response
6/17/2017 11:06:32 PM	F170060257	1	A2	2400 4th Av	Aid Response Yellow
6/17/2017 11:04:12 PM	F170060256	1	M31 E16	505 Ne 70th St	Medic Response
6/17/2017 11:01:35 PM	F170060255	1	L4	111 Cedar St	Aid Response Yellow
6/17/2017 10:58:12 PM	F170060254	1	E33	3501 S Webster St	Automatic Fire Alarm Resd
6/17/2017 10:48:22 PM	F170060252	1	A14	5414 4th Av S	Aid Response
6/17/2017 10:40:02 PM	F170060248	1	M16	404 N 36th St	Medic Response
6/17/2017 10:43:40 PM	F170060250	1	A2	919 Stewart St	Aid Response
6/17/2017 10:42:47 PM	F170060249	1	E18 M18	4601 Phinney Av N	Medic Response
6/17/2017 10:40:02 PM	F170060248	1	E9	404 N 36th St	Medic Response
6/17/2017 10:39:16 PM	F170060247	1	E17	4737 Roosevelt Way Ne	Aid Response
6/17/2017 10:35:59 PM	F170060246	1	E2 E5 A5	Sb I5 At I90	MVI Freeway
6/17/2017 10:34:00 PM	F170060245	1	E25 L10	22nd Av / E Madison St	Alarm Bell
6/17/2017 10:28:14 PM	F170060244	1	E11	7947 17th Av Sw	Aid Response Yellow
6/17/2017 10:25:31 PM	F170060242	1	A25	1519 12th Av	Aid Response
6/17/2017 10:26:30 PM	F170060243	1	E39 A2 E24	Sb I5 At Northgate	MVI - Motor Vehicle Incident
6/17/2017 10:25:31 PM	F170060242	1	E25	1519 12th Av	Aid Response
6/17/2017 10:22:31 PM	F170060241	1	A10	801 Alaskan Way	Aid Response
6/17/2017 10:16:58 PM	F170060239	1	E20	3539 27th Pl W	Aid Response
6/17/2017 10:07:45 PM	F170060238	1	E10 L1	801 5TH AV	Alarm Bell
6/17/2017 10:03:54 PM	F170060235	1	A25	1013 E Pike St	Aid Response
6/17/2017 10:00:39 PM	F170060234	1	E41	2850 43rd Av W	Automatic Fire Alarm Resd
6/17/2017 9:47:15 PM	F170060233	1	E8	1953 6th Av W	Aid Response
6/17/2017 9:46:51 PM	F170060232	1	E9	3622 Evanston Av N	Aid Response
6/17/2017 9:42:48 PM	F170060231	1	M16	Sand Point Way Ne / Ne Windermere Rd	Medic Response
6/17/2017 9:42:48 PM	F170060231	1	E38	Sand Point Way Ne / Ne Windermere Rd	Medic Response
6/17/2017 9:37:09 PM	F170060229	1	A25	1811 Eastlake Av	Aid Response
6/17/2017 9:35:47 PM	F170060228	1	M1 A5	600 4th Av	Medic Response
6/17/2017 9:31:24 PM	F170060227	1	E2	2213 8th Av	Aid Response
6/17/2017 9:30:15 PM	F170060226	1	A2	600 Pine St	Aid Response
6/17/2017 9:29:08 PM	F170060225	1	A10	318 2nd Av Et  S	Aid Response
6/17/2017 9:25:50 PM	F170060224	1	E18	5710 22nd Av Nw	Aid Response
6/17/2017 9:14:05 PM	F170060221	1	E20	3260 11th Av W	Aid Response
6/17/2017 9:13:19 PM	F170060220	1	E38	3020 Ne 45th St	Aid Response
6/17/2017 9:00:50 PM	F170060218	1	E16	8903 2nd Av Ne	Aid Response
6/17/2017 8:53:52 PM	F170060217	1	M18	1102 N 34th St	Medic Response
6/17/2017 8:53:52 PM	F170060217	1	E9	1102 N 34th St	Medic Response
6/17/2017 8:52:25 PM	F170060216	1	E22 M16	650 Ne 40th St	Medic Response
6/17/2017 8:46:42 PM	F170060215	1	A5	600 4th Av	Aid Response
6/17/2017 8:39:37 PM	F170060211	1	A2	1531 7th Av	Aid Response
6/17/2017 8:31:51 PM	F170060210	1	A10	711 Cherry St	Aid Response
6/17/2017 8:27:13 PM	F170060209	1	A5	83 Spring St	Advised Incident
6/17/2017 8:19:42 PM	F170060208	1	A25	429 24th Av E	Automatic Medical Alarm
