timestamp	incident_number	level	units	location	incident_type
6/30/2017 11:53:16 PM	F170065332	1	E40	3030 Ne 133rd St	Aid Response
6/30/2017 11:48:42 PM	F170065331	1	E2	3rd Av / Yesler Way	Rubbish Fire
6/30/2017 11:45:04 PM	F170065330	1	E13	S Stevens St / Beacon Av S	Aid Response
6/30/2017 11:39:27 PM	F170065329	1	E39	840 Ne 125th St	Aid Response
6/30/2017 11:36:45 PM	F170065327	1	E21 M18	6717 Sycamore Av Nw	Medic Response
6/30/2017 11:35:51 PM	F170065326	1	E22 L9	2820 Eastlake Av E	Alarm Bell
6/30/2017 11:35:09 PM	F170065325	1	L1 B22 E10 E2	1300 1st Av	AFA4 - Auto Alarm 2 + 1 + 1
6/30/2017 11:30:01 PM	F170065324	1	L4	1823 Eastlake Av E	Rescue Elevator
6/30/2017 11:22:21 PM	F170065323	1	E6	Lakeside Av S / S Norman St	Aid Response
6/30/2017 11:19:15 PM	F170065322	1	L5	11030 5th Av Ne	Aid Response
6/30/2017 11:01:57 PM	F170065319	1	E2	Harrison St / Minor Av N	Medic Response
6/30/2017 11:03:44 PM	F170065320	1	E31	11050 8th Av Ne	Aid Response
6/30/2017 11:01:57 PM	F170065319	1	E5 M1	Harrison St / Minor Av N	Medic Response
6/30/2017 10:59:36 PM	F170065318	1	E22	Ne Pacific St / 4th Av Ne	Aid Response
6/30/2017 10:49:12 PM	F170065316	1	E2	510 Minor Av N	Aid Response
6/30/2017 10:47:45 PM	F170065315	1	L12	3001 S Myrtle St	Aid Response
6/30/2017 10:45:35 PM	F170065314	1	M10 A2	1811 Eastlake Av	Medic Response
6/30/2017 10:33:05 PM	F170065312	1	E5	1916 Post Al	Aid Response
6/30/2017 10:30:27 PM	F170065311	1	M1 A5	106 Pike St	Medic Response
6/30/2017 10:22:43 PM	F170065310	1	A10	1400 6th Av	Aid Response
6/30/2017 10:20:33 PM	F170065309	1	L4	1901 Western Av	Rescue Elevator
6/30/2017 10:19:37 PM	F170065308	1	A2	1828 YALE AV	Aid Response
6/30/2017 9:59:36 PM	F170065303	1	E22	3701 Walla Walla Rd Ne	Aid Response
6/30/2017 10:18:10 PM	F170065307	1	E33	8340 Rainier Av S	Aid Response
6/30/2017 10:13:58 PM	F170065306	1	E16	450 Ne 100th St	Aid Response
6/30/2017 10:10:52 PM	F170065305	1	M31	820 Nw 95th St	Medic Response
6/30/2017 10:10:52 PM	F170065305	1	E35	820 Nw 95th St	Medic Response
6/30/2017 10:03:44 PM	F170065304	1	E28	7325 Rainier Av S	Aid Response
6/30/2017 9:56:12 PM	F170065302	1	E17	5206 22nd Av Ne	Aid Response
6/30/2017 9:47:42 PM	F170065300	1	A5	318 2nd Av Et  S	Aid Response
6/30/2017 9:24:02 PM	F170065294	1	M10	2125 Terry Av	Medic Response
6/30/2017 9:34:02 PM	F170065299	1	E17	5206 22nd Av Ne	Aid Response
6/30/2017 9:33:31 PM	F170065298	1	A25	Broadway E / E John St	Advised Incident
6/30/2017 9:31:54 PM	F170065297	1	A5	318 2nd Av Et  S	Aid Response
6/30/2017 9:31:02 PM	F170065296	1	M31	11715 20th Av Ne	Medic Response
6/30/2017 9:31:02 PM	F170065296	1	E39	11715 20th Av Ne	Medic Response
6/30/2017 9:29:12 PM	F170065295	1	E28	7325 Rainier Av S	Aid Response
6/30/2017 9:24:02 PM	F170065294	1	A2	2125 Terry Av	Medic Response
6/30/2017 9:14:39 PM	F170065292	1	A10	600 4th Av	Aid Response
6/30/2017 9:10:40 PM	F170065289	1	E41	2601 W Marina Pl	Aid Response
6/30/2017 8:48:51 PM	F170065278	1	M1	129 BELMONT AV E	Medic Response
6/30/2017 9:06:10 PM	F170065287	1	E37	7125 Fauntleroy Way Sw	Aid Response
6/30/2017 8:57:15 PM	F170065286	1	E13	4800 Beacon Av S	Aid Response
6/30/2017 8:52:28 PM	F170065283	1	E18	Nw 65th St / 22nd Av Nw	MVI - Motor Vehicle Incident
6/30/2017 8:49:48 PM	F170065280	1	A5	200 University St	Aid Response
6/30/2017 8:48:59 PM	F170065279	1	E21	Greenwood Av N / N 58th St	Aid Response
6/30/2017 8:48:51 PM	F170065278	1	A25	129 BELMONT AV E	Medic Response
6/30/2017 8:47:04 PM	F170065277	1	E37	7125 Fauntleroy Way Sw	Aid Response
6/30/2017 8:45:32 PM	F170065275	1	A10	Rainier Av S / S Dearborn St	Aid Response
6/30/2017 8:41:48 PM	F170065273	1	E40	12021 25th Av Ne	Automatic Fire Alarm Resd
6/30/2017 8:38:01 PM	F170065272	1	E28	53rd Av S / Lake Washington Blvd S	Aid Response
6/30/2017 8:34:11 PM	F170065271	1	E39	14027 Lake City Way Ne	Aid Response
6/30/2017 8:21:45 PM	F170065265	1	E24	724 N 143rd St	Aid Response
6/30/2017 8:21:45 PM	F170065265	1	E31	724 N 143rd St	Aid Response
6/30/2017 8:11:10 PM	F170065264	1	A5	2nd Av / Yesler Way	Aid Response
6/30/2017 8:10:23 PM	F170065263	1	A10	411 1st Av S	Aid Response
6/30/2017 8:08:20 PM	F170065262	1	A25	23rd Av / E Pike St	MVI - Motor Vehicle Incident
6/30/2017 8:07:01 PM	F170065261	1	L3 E13	1501 Cherrylane Av S	Auto Fire Alarm
6/30/2017 7:56:28 PM	F170065259	1	E32	2601 59th Av Sw	Aid Response
6/30/2017 7:55:16 PM	F170065258	1	E39	Lake City Way Ne / Ne 130th St	Aid Response
6/30/2017 7:42:32 PM	F170065254	1	M31	13739 Linden Av N	Medic Response
6/30/2017 7:41:48 PM	F170065253	1	M32	2702 47th Av Sw	Medic Response
6/30/2017 7:40:16 PM	F170065252	1	L6	2601 W BLAINE ST	Natural Gas Odor
