timestamp	incident_number	level	units	location	incident_type
6/26/2017 11:56:11 PM	F170063850	1	M18 E20	2820 15th Av W	Medic Response
6/26/2017 11:47:52 PM	F170063846	1	A10 M10	1600 S Lane St	Medic Response
6/26/2017 11:42:24 PM	F170063845	1	E36	5458 26th Av Sw	Aid Response
6/26/2017 11:38:06 PM	F170063844	1	A5 M1	1400 6th Av	Medic Response
6/26/2017 10:54:08 PM	F170063841	1	E29	56th Av Sw / Alki Av Sw	Illegal Burn
6/26/2017 10:44:08 PM	F170063839	1	A2 M10	810 Virginia St	Medic Response
6/26/2017 10:42:54 PM	F170063838	1	L5 E21	517 N 82nd St	Automatic Fire Alarm Resd
6/26/2017 10:19:08 PM	F170063837	1	E40	9806 41st Av Ne	Aid Response
6/26/2017 10:19:18 PM	F170063835	1	A14	3100 4th Av S	Aid Response
6/26/2017 10:12:47 PM	F170063833	1	E11	9024 25th Av Sw	Aid Response
6/26/2017 9:58:13 PM	F170063831	1	M16 E38	7239 Sand Point Way Ne	Medic Response
6/26/2017 9:56:02 PM	F170063830	1	A2	2312 3rd Av	Aid Response
6/26/2017 9:52:44 PM	F170063829	1	L6	1212 Queen Anne Av N	Aid Response
6/26/2017 9:51:11 PM	F170063828	1	E35	820 Nw 95th St	Aid Response Yellow
6/26/2017 9:50:59 PM	F170063826	1	E8	Queen Anne Av N / Thomas St	Brush Fire
6/26/2017 9:40:10 PM	F170063825	1	E9	2101 N Northlake Way	Illegal Burn
6/26/2017 9:29:27 PM	F170063823	1	E2	4th Av / Pine St	Aid Response
6/26/2017 9:26:17 PM	F170063820	1	E10	204 3rd Av S	Medic Response
6/26/2017 9:21:27 PM	F170063815	1	A10	2222 2nd Av	Aid Response
6/26/2017 9:26:17 PM	F170063820	1	L1	204 3rd Av S	Medic Response
6/26/2017 9:23:33 PM	F170063817	1	E35	13th Av Nw / Holman Rd Nw	Investigate Out Of Service
6/26/2017 9:21:27 PM	F170063815	1	E10	2222 2nd Av	Aid Response
6/26/2017 9:24:10 PM	F170063818	1	E5	2205 7th Av	Aid Response
6/26/2017 9:22:33 PM	F170063816	1	E28	5069 Renton Av S	Aid Response
6/26/2017 9:21:27 PM	F170063815	1	E6	2222 2nd Av	Aid Response
6/26/2017 9:20:10 PM	F170063814	1	A5	318 2nd Av Et  S	Aid Response
6/26/2017 9:03:49 PM	F170063809	1	L5	11616 Aurora Av N	Aid Response
6/26/2017 9:09:10 PM	F170063812	1	A25	Broadway / E Pike St	Aid Response
6/26/2017 9:07:02 PM	F170063811	1	E33	7609 Beacon Av S	Aid Response
6/26/2017 9:05:02 PM	F170063810	1	E24	13543 Greenwood Av N	Aid Response
6/26/2017 8:45:23 PM	F170063803	1	E5	810 Virginia St	Aid Response
6/26/2017 9:03:49 PM	F170063809	1	E31	11616 Aurora Av N	Aid Response
6/26/2017 9:02:33 PM	F170063808	1	A14	4636 East Marginal Way S	Aid Response
6/26/2017 8:55:45 PM	F170063806	1	E13	4815 Corson Av S	1RED 1 Unit
6/26/2017 8:35:55 PM	F170063798	1	M1	94 Bay St	Medic Response
