timestamp	incident_number	level	units	location	incident_type
6/7/2017 11:51:43 PM	F170056454	1	A2	2205 7th Av	Aid Response
6/7/2017 11:47:21 PM	F170056452	1	E17	Ne 45th St / 15th Av Ne	Aid Response
6/7/2017 11:32:42 PM	F170056450	1	E41	W Emerson St / 45th Av W	Aid Response
6/7/2017 11:25:14 PM	F170056449	1	E37	6720 38th Av Sw	Aid Response Yellow
6/7/2017 11:24:10 PM	F170056448	1	E28	3610 S Edmunds St	Aid Response
6/7/2017 11:24:10 PM	F170056448	1	L12	3610 S Edmunds St	Aid Response
6/7/2017 11:16:44 PM	F170056447	1	A2	510 MINOR AV N	Aid Response
6/7/2017 11:14:30 PM	F170056445	1	A25	Boren Av / Pike St	Aid Response
6/7/2017 11:07:48 PM	F170056444	1	M1	2107 13th Av S	Medic Response
6/7/2017 11:07:48 PM	F170056444	1	E13	2107 13th Av S	Medic Response
6/7/2017 11:00:34 PM	F170056443	1	E27	8th Av S / S Findlay St	Aid Response
6/7/2017 10:56:42 PM	F170056442	1	M1 A25	1730 19th Av	Medic Response
6/7/2017 10:55:00 PM	F170056440	1	M32 E37	9240 35th Av Sw	Medic Response
6/7/2017 10:45:43 PM	F170056438	1	M10	Yesler Way / Prefontaine Pl S	Medic Response
6/7/2017 10:46:55 PM	F170056439	1	E10	1519 Alaskan Way S	Illegal Burn
6/7/2017 10:45:43 PM	F170056438	1	A5	Yesler Way / Prefontaine Pl S	Medic Response
6/7/2017 10:34:50 PM	F170056437	1	A2	810 Virginia St	Aid Response
6/7/2017 10:10:42 PM	F170056427	1	M44	6th Av / Seneca St	Aid Response
6/7/2017 10:28:12 PM	F170056435	1	E29	1526 Alki Av Sw	Automatic Fire Alarm False
6/7/2017 10:10:42 PM	F170056427	1	E10	6th Av / Seneca St	Aid Response
6/7/2017 10:27:27 PM	F170056433	1	L10	1620 Broadway	Rescue Elevator
6/7/2017 10:21:22 PM	F170056432	1	L4 E2	420 Pontius Av N	Alarm Bell
6/7/2017 10:18:43 PM	F170056431	1	A14	1717 6th Av S	Aid Response
6/7/2017 10:16:30 PM	F170056430	1	E16	6720 East Green Lake Way N	Aid Response
6/7/2017 10:10:42 PM	F170056427	1	M1	6th Av / Seneca St	Aid Response
6/7/2017 10:10:42 PM	F170056427	1	A10	6th Av / Seneca St	Aid Response
6/7/2017 10:09:07 PM	F170056426	1	E9	1614 N 46th St	Automatic Fire Alarm Resd
6/7/2017 9:46:44 PM	F170056424	1	M10	2010 S Jackson St	Medic Response
6/7/2017 9:52:36 PM	F170056425	1	E25 L10	601 Minor Av	Auto Fire Alarm
6/7/2017 9:46:44 PM	F170056424	1	E6	2010 S Jackson St	Medic Response
6/7/2017 9:36:33 PM	F170056423	1	E37	9423 36th Av Sw	Aid Response
6/7/2017 9:27:46 PM	F170056422	1	E8	W Roy St / 2nd Av W	Aid Response
6/7/2017 9:27:16 PM	F170056421	1	L5	12034 15th Av Ne	Water Job Minor
6/7/2017 9:22:51 PM	F170056419	1	A5	5th Av S / S Jackson St	Aid Response
6/7/2017 9:17:19 PM	F170056418	1	E34	1602 E Lynn St	Automatic Fire Alarm Resd
6/7/2017 9:16:25 PM	F170056417	1	E9	N 46th St / Interlake Av N	Aid Response
6/7/2017 9:15:56 PM	F170056416	1	A10 M1	607 3rd Av	Medic Response
6/7/2017 9:05:45 PM	F170056415	1	A2	95 Pine St	Aid Response
6/7/2017 9:01:47 PM	F170056414	1	L12	3801 S Alaska St	Rescue Elevator
6/7/2017 9:00:32 PM	F170056413	1	E5	1107 Virginia St	Aid Response
6/7/2017 8:45:54 PM	F170056406	1	E32	3600 23rd Av Sw	Rescue Heavy
