timestamp	incident_number	level	units	location	incident_type
6/3/2017 11:54:41 PM	F170054839	1	E21	N 85th St / Greenwood Av N	Aid Response
6/3/2017 11:47:10 PM	F170054837	1	E33	51st Av S / S Garden Loop Rd	Aid Response
6/3/2017 11:37:08 PM	F170054836	1	E27	Ellis Av S / S Myrtle St	Aid Response
6/3/2017 11:26:07 PM	F170054834	1	A2	1st Av / Pike St	Aid Response
6/3/2017 11:16:48 PM	F170054832	1	A25	E Pike St / Belmont Av	Aid Response
6/3/2017 11:17:01 PM	F170054831	1	A2	1st Av / Pike St	Aid Response
6/3/2017 11:07:38 PM	F170054827	1	L1	2015 2nd Av	Rescue Elevator
6/3/2017 11:08:43 PM	F170054828	1	E38	5300 24th Av Ne	Aid Response
6/3/2017 11:07:25 PM	F170054826	1	L4	1701 Dexter Av N	Rescue Elevator
6/3/2017 11:01:53 PM	F170054824	1	E24	N 130th St / Aurora Av N	Aid Response
6/3/2017 11:02:23 PM	F170054825	1	E18	Nw Market St / 22nd Av Nw	1RED 1 Unit
6/3/2017 11:01:58 PM	F170054823	1	E40	Lake City Way Ne / 30th Av Ne	Aid Response
6/3/2017 11:00:07 PM	F170054822	1	E30	3621 33rd Av S	Aid Response
6/3/2017 10:58:53 PM	F170054821	1	E37	9036 37th Av Sw	Illegal Burn
6/3/2017 10:57:41 PM	F170054819	1	A10	2nd Av Et S / Yesler Way	Aid Response
6/3/2017 10:53:49 PM	F170054817	1	A5	3rd Av / Cherry St	Aid Response
6/3/2017 10:49:25 PM	F170054814	1	E39	12740 33rd Av Ne	Aid Response
6/3/2017 10:48:10 PM	F170054813	1	A2	2510 Western Av	Aid Response
6/3/2017 10:39:15 PM	F170054812	1	E18	1510 Nw Leary Way	Aid Response
6/3/2017 10:33:12 PM	F170054810	1	E10 L1	504 5th Av S	Auto Fire Alarm
6/3/2017 10:21:33 PM	F170054809	1	E5	415 Cedar St	Aid Response
