timestamp	incident_number	level	units	location	incident_type
7/1/2017 11:52:51 PM	F170065737	1	E22	4500 University Way Ne	Aid Response
7/1/2017 11:46:42 PM	F170065736	1	E24 L5	12505 Aurora Av N	Auto Fire Alarm
7/1/2017 11:45:20 PM	F170065735	1	E25 B5 L10 E2	1712 Summit Av	4RED - 2 + 1 + 1
7/1/2017 11:33:53 PM	F170065733	1	L9 M44 B6 E17 M16	12th Av Ne / Ne 42nd St	Assault w/Weap 7 per Rule
7/1/2017 11:32:11 PM	F170065732	1	E30	3621 33rd Av S	Aid Response
7/1/2017 11:32:02 PM	F170065731	1	A5	500 5th Av	Aid Response
7/1/2017 11:27:55 PM	F170065730	1	E40	13725 32nd Av Ne	Rubbish Fire
7/1/2017 11:20:05 PM	F170065728	1	E39	12336 31st Av Ne	Aid Response
7/1/2017 11:17:59 PM	F170065727	1	E33 E28 M28	4207 S Fairbanks St	Medic Response, 7 per Rule
7/1/2017 11:17:43 PM	F170065726	1	A10	Western Av / Spring St	Aid Response
7/1/2017 11:17:24 PM	F170065725	1	A25	525 14th Av E	Automatic Medical Alarm
7/1/2017 11:05:31 PM	F170065724	1	E17	4732 Brooklyn Av Ne	Aid Response
7/1/2017 11:03:15 PM	F170065722	1	E6	725 26th Av S	Aid Response
7/1/2017 10:56:07 PM	F170065719	1	E34	E Mcgilvra St / 42nd Av E	Aid Response
7/1/2017 10:55:40 PM	F170065718	1	E35	101 N 104th St	Aid Response
7/1/2017 10:35:25 PM	F170065717	1	A25	1635 11th Av	Aid Response
7/1/2017 10:21:14 PM	F170065712	1	E13	M L King Jr Way S / S Charlestown St	Brush Fire
7/1/2017 10:08:54 PM	F170065708	1	M44	4017 5th Av Ne	Medic Response, 7 per Rule
7/1/2017 10:08:21 PM	F170065710	1	E41	3411 W Mcgraw St	Aid Response
7/1/2017 10:08:54 PM	F170065708	1	L9 M16	4017 5th Av Ne	Medic Response, 7 per Rule
7/1/2017 10:08:54 PM	F170065708	1	E17	4017 5th Av Ne	Medic Response, 7 per Rule
7/1/2017 10:04:30 PM	F170065705	1	L12	3900 S Othello St	Medic Response
7/1/2017 10:05:47 PM	F170065707	1	E20	15th Av W Sb On Rp / W Dravus St	Aid Response
7/1/2017 10:04:30 PM	F170065705	1	M10	3900 S Othello St	Medic Response
7/1/2017 10:04:30 PM	F170065705	1	E27	3900 S Othello St	Medic Response
7/1/2017 10:03:44 PM	F170065704	1	M32	7115 44th Av Sw	Medic Response
7/1/2017 10:03:44 PM	F170065704	1	E37	7115 44th Av Sw	Medic Response
7/1/2017 10:01:10 PM	F170065703	1	E33	10004 Waters Av S	Illegal Burn
7/1/2017 10:01:46 PM	F170065702	1	M1 A5	325 9th Av	Medic Response
7/1/2017 9:56:26 PM	F170065698	1	M28 E30	Rainier Av S / S Garden St	Medic Response, 6 per Rule
7/1/2017 9:56:26 PM	F170065698	1	E28	Rainier Av S / S Garden St	Medic Response, 6 per Rule
7/1/2017 9:52:39 PM	F170065696	1	A2	2421 2nd Av	Aid Response
7/1/2017 9:51:08 PM	F170065695	1	M10	1642 Federal Av E	Medic Response
7/1/2017 9:51:08 PM	F170065695	1	A25	1642 Federal Av E	Medic Response
7/1/2017 9:49:36 PM	F170065694	1	L9 E17	4541 19th Av Ne	Auto Fire Alarm
7/1/2017 9:46:59 PM	F170065692	1	E33	4219 S Othello St	Aid Response
7/1/2017 9:44:42 PM	F170065691	1	E39	11729 26th Av Ne	Aid Response
7/1/2017 9:44:42 PM	F170065691	1	E31	11729 26th Av Ne	Aid Response
7/1/2017 9:44:10 PM	F170065690	1	A10	500 5th Av	Aid Response
7/1/2017 9:43:03 PM	F170065689	1	E22	4135 Brooklyn Av Ne	Aid Response
7/1/2017 9:22:56 PM	F170065683	1	E18	Nw 85th St / Golden Gardens Dr Nw	Medic Response
7/1/2017 9:27:10 PM	F170065686	1	M16	6870 62nd Av Ne	Medic Response
7/1/2017 9:22:56 PM	F170065683	1	E21	Nw 85th St / Golden Gardens Dr Nw	Medic Response
7/1/2017 9:27:10 PM	F170065686	1	E38	6870 62nd Av Ne	Medic Response
7/1/2017 9:26:01 PM	F170065685	1	E16	6th Av Ne / Ne 71st St	Aid Response
7/1/2017 9:22:56 PM	F170065683	1	L8	Nw 85th St / Golden Gardens Dr Nw	Medic Response
7/1/2017 9:22:56 PM	F170065683	1	M18	Nw 85th St / Golden Gardens Dr Nw	Medic Response
7/1/2017 9:24:38 PM	F170065684	1	E33	7609 Beacon Av S	Aid Response
7/1/2017 9:22:56 PM	F170065683	1	E21	Nw 85th St / Golden Gardens Dr Nw	Medic Response
7/1/2017 9:08:45 PM	F170065679	1	FB4	8498 Seaview Av Nw	Auto Fire Alarm
7/1/2017 9:11:25 PM	F170065681	1	A2	116 Fairview Av N	Aid Response
7/1/2017 9:08:45 PM	F170065679	1	FIREBOAT L8 E18	8498 Seaview Av Nw	Auto Fire Alarm
7/1/2017 9:06:17 PM	F170065677	1	A25	Boylston Av E / E Mercer St	Aid Response
7/1/2017 9:06:17 PM	F170065677	1	E25	Boylston Av E / E Mercer St	Aid Response
7/1/2017 9:05:02 PM	F170065676	1	A5	911 Pine St	Aid Response
7/1/2017 8:54:02 PM	F170065672	1	E9 E22 M16	3655 Albion Pl N	Medic Response, 7 per Rule
7/1/2017 8:53:05 PM	F170065671	1	E8	100 Crockett St	Aid Response
7/1/2017 8:52:44 PM	F170065670	1	E10	619 3rd Av	Aid Response
7/1/2017 8:52:44 PM	F170065670	1	A10	619 3rd Av	Aid Response
7/1/2017 8:49:32 PM	F170065669	1	E27	East Marginal Way S / Ellis Av S	Aid Response
7/1/2017 8:48:05 PM	F170065668	1	A5	600 4th Av	Aid Response
7/1/2017 8:45:58 PM	F170065667	1	M32 E32	4540 42nd Av Sw	Medic Response
7/1/2017 8:41:47 PM	F170065663	1	M16 E16 E17	Sb I5 At Ravenna	Medic Response Freeway
7/1/2017 8:39:56 PM	F170065661	1	A25	314 E Pike St	Aid Response
7/1/2017 8:40:12 PM	F170065662	1	L5 E31	11729 36th Av Ne	Auto Fire Alarm
7/1/2017 8:37:39 PM	F170065660	1	M31 E39	12017 22nd Av Ne	Medic Response
7/1/2017 8:36:45 PM	F170065659	1	E13	4515 M L King Jr Way S	Aid Response
7/1/2017 8:35:36 PM	F170065658	1	E22	Montlake Blvd E / E Hamlin St	Aid Response
7/1/2017 8:34:01 PM	F170065657	1	A4	2nd Av / Pike St	Aid Response
7/1/2017 8:34:01 PM	F170065657	1	A2	2nd Av / Pike St	Aid Response
7/1/2017 8:30:58 PM	F170065656	1	L1	612 2nd Av	Rescue Elevator
7/1/2017 8:28:31 PM	F170065654	1	M28	3329 York Rd S	Medic Response
7/1/2017 8:28:31 PM	F170065654	1	E30	3329 York Rd S	Medic Response
7/1/2017 8:25:44 PM	F170065653	1	E24	N 130th St / Aurora Av N	Aid Response
7/1/2017 8:18:45 PM	F170065651	1	A4	1st Av / Battery St	Aid Response
7/1/2017 8:15:32 PM	F170065650	1	A10	Maynard Av S / S Main St	Aid Response
7/1/2017 8:05:52 PM	F170065649	1	E22	Eb Sr520 To Montlake / Montlake Blvd E	Aid Response
7/1/2017 8:04:11 PM	F170065647	1	E28	4830 S Raymond St	Automatic Fire Alarm Resd
7/1/2017 8:03:19 PM	F170065646	1	E37	26th Av Sw / Sw Barton St	Brush Fire
7/1/2017 7:59:07 PM	F170065645	1	L10	1700 17th Av	Aid Response
7/1/2017 7:57:15 PM	F170065644	1	A4	Howell St / Court Pl	Aid Response
7/1/2017 7:57:48 PM	F170065643	1	E38	8229 36th Av Ne	Aid Response
7/1/2017 7:53:36 PM	F170065641	1	M1	1615 19th Av	Medic Response
7/1/2017 7:53:36 PM	F170065641	1	M10	1615 19th Av	Medic Response
7/1/2017 7:53:36 PM	F170065641	1	E25	1615 19th Av	Medic Response
7/1/2017 7:44:15 PM	F170065639	1	A25	525 14th Av E	Automatic Medical Alarm
7/1/2017 7:41:56 PM	F170065638	1	E16	7201 EAST GREEN LAKE DR N	Aid Response
7/1/2017 7:40:21 PM	F170065637	1	E18	8498 Seaview Av Nw	Aid Response
7/1/2017 7:33:10 PM	F170065636	1	E37	4232 Sw Donovan St	Aid Response
7/1/2017 7:16:45 PM	F170065633	1	E25 L10	724 Pine St	Auto Fire Alarm
7/1/2017 7:15:30 PM	F170065632	1	E41	2830 26th Av W	Aid Response
7/1/2017 7:14:18 PM	F170065631	1	E27	East Marginal Way S / S Myrtle St	Aid Response
7/1/2017 7:12:41 PM	F170065629	1	E8	11 W Aloha St	Aid Response
7/1/2017 7:10:51 PM	F170065628	1	A4	2024 3rd Av	Aid Response
7/1/2017 7:07:09 PM	F170065627	1	E31	311 Ne 103rd St	Aid Response
7/1/2017 7:00:53 PM	F170065626	1	A25	1401 Broadway	Aid Response
7/1/2017 6:23:46 PM	F170065612	1	M18 E35	7523 19th Av Nw	Medic Response
7/1/2017 6:45:19 PM	F170065623	1	E35 M18	7523 19TH AV NW	Medic Response
7/1/2017 6:48:23 PM	F170065625	1	E34	1620 43rd Av E	Aid Response
7/1/2017 6:47:47 PM	F170065624	1	E37	9811 California Av Sw	Aid Response Yellow
7/1/2017 6:45:19 PM	F170065623	1	M31	7523 19TH AV NW	Medic Response
